variable;value;type;definition;source;comments
max_years_can;40;int;;;
min_age_oas;65;int;;;
min_years_can;10;int;;;
min_age_allow;60;int;;;
work_exempt;3500;int;;;
oas_full;6978.87;float;;;
oas_claw_cutoff;74788;int;;;
oas_claw_rate;0.15;float;;;
postpone_oas_bonus;0.072;float;;;0.6% per month postponed
gis_full_high;8866.23;float;;;
gis_full_low;5852.83;float;;;
gis_claw_rate;0.5;float;;;
bonus_exempt_single;2000;int;;;
bonus_exempt_couple;4000;int;;;
bonus_claw_rate;0.25;float;;;
rate_high_inc;1.33333333;float;;;
rate_allow;0.75;float;;;
rate_allow_high_inc;0.5;float;;;
gis_bonus_high;1614.54;float;;;
gis_bonus_low;457.67;float;;;
allow_surv_bonus;1614.54;float;;;
allow_couple_bonus;457.67;float;;;
